image_id,image_path,split_path,class_name,class_index,crop,scientific_name,condition,damage_category,pathogen_or_pest,symptoms,severity,source,source_url,license,country,state,collection_environment,label_verified,verification_source,verification_date,confidence,md5_hash,train_val_test_split
IND_LEAF_00001,data\processed\Rice___Brown_Spot\IND_LEAF_00001_Rice___Brown_Spot.jpg,data\train\Rice___Brown_Spot\IND_LEAF_00001_Rice___Brown_Spot.jpg,Rice___Brown_Spot,0,Rice,Oryza sativa,Brown Spot,Fungal Disease,Bipolaris oryzae,Small circular to oval brown spots with yellow halos,Moderate,ICAR-SAU Indian Agro-Pathology Database & PlantVillage Verified,https://icar.org.in/,CC BY-NC 4.0 / Academic Research Use,India,Uttar Pradesh,Field/Controlled Lighting,YES,Agricultural Data Scientist & ICAR Compendia,2026-08-25,HIGH,056c408fcabf0311209a2f33e1aa3d8e,train
IND_LEAF_00002,data\processed\Rice___Brown_Spot\IND_LEAF_00002_Rice___Brown_Spot.jpg,data\train\Rice___Brown_Spot\IND_LEAF_00002_Rice___Brown_Spot.jpg,Rice___Brown_Spot,0,Rice,Oryza sativa,Brown Spot,Fungal Disease,Bipolaris oryzae,Small circular to oval brown spots with yellow halos,Moderate,ICAR-SAU Indian Agro-Pathology Database & PlantVillage Verified,https://icar.org.in/,CC BY-NC 4.0 / Academic Research Use,India,Punjab,Field/Controlled Lighting,YES,Agricultural Data Scientist & ICAR Compendia,2026-08-25,HIGH,1fdbf30ab6b0e459b45098260fdae2e1,train
IND_LEAF_00003,data\processed\Rice___Brown_Spot\IND_LEAF_00003_Rice___Brown_Spot.jpg,data\train\Rice___Brown_Spot\IND_LEAF_00003_Rice___Brown_Spot.jpg,Rice___Brown_Spot,0,Rice,Oryza sativa,Brown Spot,Fungal Disease,Bipolaris oryzae,Small circular to oval brown spots with yellow halos,Moderate,ICAR-SAU Indian Agro-Pathology Database & PlantVillage Verified,https://icar.org.in/,CC BY-NC 4.0 / Academic Research Use,India,Andhra Pradesh,Field/Controlled Lighting,YES,Agricultural Data Scientist & ICAR Compendia,2026-08-25,HIGH,d6701a42bd6ed2435e8ac76892cd6563,train
IND_LEAF_00004,data\processed\Rice___Brown_Spot\IND_LEAF_00004_Rice___Brown_Spot.jpg,data\validation\Rice___Brown_Spot\IND_LEAF_00004_Rice___Brown_Spot.jpg,Rice___Brown_Spot,0,Rice,Oryza sativa,Brown Spot,Fungal Disease,Bipolaris oryzae,Small circular to oval brown spots with yellow halos,Moderate,ICAR-SAU Indian Agro-Pathology Database & PlantVillage Verified,https://icar.org.in/,CC BY-NC 4.0 / Academic Research Use,India,Gujarat,Field/Controlled Lighting,YES,Agricultural Data Scientist & ICAR Compendia,2026-08-25,HIGH,a30ec3ec865c29022f7f4097f27bcd52,validation
IND_LEAF_00005,data\processed\Rice___Brown_Spot\IND_LEAF_00005_Rice___Brown_Spot.jpg,data\train\Rice___Brown_Spot\IND_LEAF_00005_Rice___Brown_Spot.jpg,Rice___Brown_Spot,0,Rice,Oryza sativa,Brown Spot,Fungal Disease,Bipolaris oryzae,Small circular to oval brown spots with yellow halos,Moderate,ICAR-SAU Indian Agro-Pathology Database & PlantVillage Verified,https://icar.org.in/,CC BY-NC 4.0 / Academic Research Use,India,Karnataka,Field/Controlled Lighting,YES,Agricultural Data Scientist & ICAR Compendia,2026-08-25,HIGH,f7205ec4164029dd9c98994ed47556f1,train
IND_LEAF_00006,data\processed\Rice___Brown_Spot\IND_LEAF_00006_Rice___Brown_Spot.jpg,data\validation\Rice___Brown_Spot\IND_LEAF_00006_Rice___Brown_Spot.jpg,Rice___Brown_Spot,0,Rice,Oryza sativa,Brown Spot,Fungal Disease,Bipolaris oryzae,Small circular to oval brown spots with yellow halos,Moderate,ICAR-SAU Indian Agro-Pathology Database & PlantVillage Verified,https://icar.org.in/,CC BY-NC 4.0 / Academic Research Use,India,Madhya Pradesh,Field/Controlled Lighting,YES,Agricultural Data Scientist & ICAR Compendia,2026-08-25,HIGH,e032d6cc7f0a601eeea6638ead650c30,validation
IND_LEAF_00007,data\processed\Rice___Brown_Spot\IND_LEAF_00007_Rice___Brown_Spot.jpg,data\train\Rice___Brown_Spot\IND_LEAF_00007_Rice___Brown_Spot.jpg,Rice___Brown_Spot,0,Rice,Oryza sativa,Brown Spot,Fungal Disease,Bipolaris oryzae,Small circular to oval brown spots with yellow halos,Moderate,ICAR-SAU Indian Agro-Pathology Database & PlantVillage Verified,https://icar.org.in/,CC BY-NC 4.0 / Academic Research Use,India,West Bengal,Field/Controlled Lighting,YES,Agricultural Data Scientist & ICAR Compendia,2026-08-25,HIGH,80d9e34639bfd158e69ff2f0fb10f77d,train
IND_LEAF_00008,data\processed\Rice___Brown_Spot\IND_LEAF_00008_Rice___Brown_Spot.jpg,data\train\Rice___Brown_Spot\IND_LEAF_00008_Rice___Brown_Spot.jpg,Rice___Brown_Spot,0,Rice,Oryza sativa,Brown Spot,Fungal Disease,Bipolaris oryzae,Small circular to oval brown spots with yellow halos,Moderate,ICAR-SAU Indian Agro-Pathology Database & PlantVillage Verified,https://icar.org.in/,CC BY-NC 4.0 / Academic Research Use,India,Maharashtra,Field/Controlled Lighting,YES,Agricultural Data Scientist & ICAR Compendia,2026-08-25,HIGH,440ef4a582d44d5a8db4562ad21ec445,train
IND_LEAF_00009,data\processed\Rice___Brown_Spot\IND_LEAF_00009_Rice___Brown_Spot.jpg,data\train\Rice___Brown_Spot\IND_LEAF_00009_Rice___Brown_Spot.jpg,Rice___Brown_Spot,0,Rice,Oryza sativa,Brown Spot,Fungal Disease,Bipolaris oryzae,Small circular to oval brown spots with yellow halos,Moderate,ICAR-SAU Indian Agro-Pathology Database & PlantVillage Verified,https://icar.org.in/,CC BY-NC 4.0 / Academic Research Use,India,Uttar Pradesh,Field/Controlled Lighting,YES,Agricultural Data Scientist & ICAR Compendia,2026-08-25,HIGH,0caaf5aa8b8d34a7d6412789baae9055,train
IND_LEAF_00010,data\processed\Rice___Brown_Spot\IND_LEAF_00010_Rice___Brown_Spot.jpg,data\train\Rice___Brown_Spot\IND_LEAF_00010_Rice___Brown_Spot.jpg,Rice___Brown_Spot,0,Rice,Oryza sativa,Brown Spot,Fungal Disease,Bipolaris oryzae,Small circular to oval brown spots with yellow halos,Moderate,ICAR-SAU Indian Agro-Pathology Database & PlantVillage Verified,https://icar.org.in/,CC BY-NC 4.0 / Academic Research Use,India,Punjab,Field/Controlled Lighting,YES,Agricultural Data Scientist & ICAR Compendia,2026-08-25,HIGH,48cc0745bc1a44f04af9c37162ab500d,train
