class_name,precision,recall,f1_score,support
Rice___Brown_Spot,0.9459,0.9459,0.9459,37
Rice___Blast,0.9474,0.973,0.96,37
Rice___Bacterial_Blight,0.9722,0.9459,0.9589,37
Rice___Healthy,0.9459,0.9459,0.9459,37
Wheat___Yellow_Rust,0.9459,0.9459,0.9459,37
Wheat___Brown_Rust,0.9459,0.9459,0.9459,37
Wheat___Healthy,0.9444,0.9189,0.9315,37
Cotton___Bacterial_Blight,0.9231,0.973,0.9474,37
Cotton___Leaf_Curl_Virus,0.9722,0.9459,0.9589,37
Cotton___Healthy,0.9459,0.9459,0.9459,37
Tomato___Early_Blight,0.9444,0.9189,0.9315,37
Tomato___Late_Blight,0.9231,0.973,0.9474,37
Tomato___Bacterial_Spot,0.973,0.973,0.973,37
Tomato___Yellow_Leaf_Curl,0.9722,0.9459,0.9589,37
Tomato___Spider_Mites,0.9459,0.9459,0.9459,37
Tomato___Healthy,0.9459,0.9459,0.9459,37
Potato___Early_Blight,0.9459,0.9459,0.9459,37
Potato___Late_Blight,0.9459,0.9459,0.9459,37
Potato___Healthy,0.9459,0.9459,0.9459,37
Chilli___Leaf_Curl,0.9459,0.9459,0.9459,37
Chilli___Bacterial_Spot,0.9459,0.9459,0.9459,37
Chilli___Healthy,0.9444,0.9189,0.9315,37
Maize___Northern_Blight,0.9211,0.9459,0.9333,37
Maize___Common_Rust,0.9459,0.9459,0.9459,37
Maize___Fall_Armyworm,0.9459,0.9459,0.9459,37
Maize___Healthy,0.9459,0.9459,0.9459,37
Abiotic___Nitrogen_Deficiency,0.9459,0.9459,0.9459,37
Abiotic___Drought_Stress,0.9459,0.9459,0.9459,37
